Date,Year-Month,Title,Review
01/01/2024,01/01/2024,Ultra responsive,The company were ultra responsive to my enquiry. The cover provided meets all my expectations (on paper).The representative was obviously having to cover all his legal obligations when dealing with my application but it seemed a little rushed & not quite 'As Personal' at it could have been. I was satisfied with the final outcome & everything was included in the 'Welcome' letter.
01/01/2024,01/01/2024,If I could give this company 0 stars I…,If I could give this company 0 stars I would. The service we have received is absolutely disgusting. I’ve rang 6/7 times today chasing an engineer to come out and fix our boiler. For the last three days now we’ve had no heating or hot water. They told us they have referred our job to the manufacturer which is a load of crap. I rang the manufacture and they have no record of the job! Absolutely disgusting customer service. Payed a call outout fee of £45 and the engineer didn’t even take the boiler apart. He just looked at it. Don’t go with these cowboys.
02/01/2024,01/01/2024,"Not only was our experience shameful, the company has attempted to have me silenced on Trustpilot and other review sites.","Please read this review before placing your trust in this business. It would take me a week to detail all the areas where 247 let us down and behave in a manner which is beyond dodgy! Just a few are: 1. Abusing our personal details to repeatedly call, when you have expressly told them not to on several occasions. 2. Sending a racist engineer who told us ‘he only works for P****** because they pay him £15k a year more than his previous employer3. Supplying official paperwork telling us we needed essential safety work (not covered by our policy of course) despite never having carried out the necessary observation/ assessment of the area concerned. 4. Making critical errors in paperwork. Our boiler was serviced on 17/11/23; the date given for the next service required? 17/11/23. 5. Offering to quote for unnecessary work, which was described as a safety issue. 6. Their engineers will warn you that despite writing ‘customer not interested in new boiler’ you will get a call trying to sell you one, because that’s all they’re interested in. Taking your money! 7. Offering 3 months compensation for their poor service and engineer’s behaviour, then when you reiterate you want your contact details removed from their records, they cancel your policy completely, 3 months early, leaving you completely without cover over the winter. If you are considering this company for your boiler cover, be warned. Their customer service agents are ‘not allowed’ to escalate complaints to the managers. Apparently when their engineers tell you ‘they are all greedy (racist term!) who are only interested in taking your money’, they may indeed be speaking from experience."
02/01/2024,01/01/2024,Professional and friendly engineer…,Professional and friendly engineer would recommend.
02/01/2024,01/01/2024,Happy with the service so far,Happy with the service so far
02/01/2024,01/01/2024,Excellent service,Excellent service
02/01/2024,01/01/2024,Very polite and well informed engineer,Very polite and walked me through everything he carried out and explained aspects about the boiler I should know
02/01/2024,01/01/2024,Excellent service,"Excellent service, polite, knowledgeable engineer. Was on time and did his job well.Would always recommend 247 home rescue."
02/01/2024,01/01/2024,Satisfied customer,Easy sign up process and good customer service. Excellent prices and good cover
02/01/2024,01/01/2024,Easy to use website,Easy to use website
02/01/2024,01/01/2024,Great sign up process,"Great sign up process, hopefully the service is as good moving forwards"
02/01/2024,01/01/2024,Boiler Service,Engineer contacted me before callPolite and friendly Covered his boots before entering my homeCompleted Service and asked if I was having any issues Thank you
02/01/2024,01/01/2024,Easy to use,Very easy to sign up
02/01/2024,01/01/2024,Very easy and straightforward to obtain…,Very easy and straightforward to obtain a new policy online.
02/01/2024,01/01/2024,Great helpfull experienced engineer,"The engineer Jamie arrived at my address on time, was very cheerfully and experienced in what he was doing. Gave me some great energy advise and was very respectful towards my property. Top job thankyou."
02/01/2024,01/01/2024,Easy to sign up,Easy to sign up
