Date,Year-Month,Review,Product Categorisation_sentiment_score,Product Categorisation_reason,Overall Sentiment_sentiment_score,Overall Sentiment_reason,Appointment Scheduling_sentiment_score,Appointment Scheduling_reason,Customer Service_sentiment_score,Customer Service_reason,Response Speed_sentiment_score,Response Speed_reason,Engineer Experience_sentiment_score,Engineer Experience_reason,Solution Quality_sentiment_score,Solution Quality_reason,Value for Money_sentiment_score,Value for Money_reason
29/01/2025,01/01/2025,How about you cut this crap out and reduced your prices? No? Didn't think so.,85,Energy,-90,"The review expresses strong frustration and dissatisfaction with the contractor's pricing, indicating a very negative overall sentiment. The use of harsh language (""cut this crap out"") reinforces the negative tone.",-90,"The review expresses strong frustration and dissatisfaction, indicating a negative sentiment towards the contractor's pricing and possibly their availability or willingness to negotiate, which can be related to appointment scheduling.",-90,"The review expresses strong dissatisfaction with the contractor's pricing and implies a lack of responsiveness to customer concerns, indicating extremely negative sentiment towards customer service.",-80,"The review expresses frustration and dissatisfaction, indicating a negative sentiment towards the contractor's response speed, suggesting that the customer feels ignored or undervalued.",-90,"The review expresses strong dissatisfaction with the pricing, indicating a negative experience with the contractor's service. The use of harsh language suggests frustration, which reflects poorly on the perceived value of the engineer's experience.",-90,"The review expresses strong dissatisfaction with the pricing, implying that the quality of the solution is not worth the cost. The use of ""crap"" indicates a very negative perception of the value provided.",-80,"The review expresses strong dissatisfaction with the pricing, suggesting that the value for money is poor. The use of phrases like ""cut this crap out"" indicates frustration and disappointment, leading to a very negative sentiment regarding value."
29/01/2025,01/01/2025,British Gas you might be offering new tariffs  but putting us on the right tariff is impossible!,85,Energy,-70,"The review expresses frustration and dissatisfaction with British Gas's ability to put customers on the correct tariff, indicating a negative experience. The use of ""impossible"" suggests a strong level of discontent.",-70,"The review expresses frustration with the difficulty of being placed on the correct tariff, indicating a negative experience with the service. This suggests issues with appointment scheduling or customer service related to tariff management, leading to a strong negative sentiment.",-80,"The review expresses frustration with the difficulty of getting the correct tariff, indicating a negative experience with customer service. The use of ""impossible"" highlights a strong dissatisfaction.",-70,"The review expresses frustration with the difficulty of getting the correct tariff, indicating a negative experience with the response speed of British Gas in addressing customer needs.",-70,"The review expresses frustration with the service provided by British Gas, specifically regarding the difficulty in being placed on the correct tariff. This indicates a negative experience, particularly in the context of customer service and support, which reflects poorly on the engineer's experience.",-70,"The review expresses frustration with British Gas's inability to provide the correct tariff, indicating a significant dissatisfaction with the quality of the solution offered. The use of ""impossible"" suggests a strong negative sentiment regarding their service.",-70,"The review expresses frustration with British Gas's inability to provide the right tariff, indicating a negative perception of value for money. The use of ""impossible"" suggests a strong dissatisfaction with the service related to pricing and tariff options."
29/01/2025,01/01/2025,"British Gas OMG. Using DeepSeek for your AI? Give up some of those record profits, dividends and bonuses?",0,Unknown,-80,"The review expresses strong dissatisfaction with British Gas, indicating frustration with their use of AI and implying that the company prioritizes profits over customer service. The tone is negative and critical, leading to a low sentiment score.",-80,"The review expresses frustration and disappointment with British Gas, implying dissatisfaction with their appointment scheduling process. The use of ""OMG"" suggests a strong emotional reaction, and the mention of ""give up some of those record profits"" indicates a negative sentiment towards the company's priorities, which likely affects the scheduling experience.",-80,"The review expresses strong dissatisfaction with British Gas, implying frustration with their customer service by questioning their use of AI and suggesting they should invest more in service quality rather than profits. This indicates a very negative sentiment towards the customer service aspect.",-80,"The review expresses strong frustration and dissatisfaction with the response speed of British Gas, suggesting that they are not adequately addressing customer concerns. The use of ""OMG"" indicates exasperation, and the call for the company to reconsider its financial priorities implies a lack of timely support.",-80,"The review expresses strong dissatisfaction with British Gas, implying a negative experience with the service, which likely includes the engineer's performance or expertise. The use of ""OMG"" and the suggestion to reconsider their business practices indicates frustration and disappointment.",-80,"The review expresses strong dissatisfaction with British Gas, implying that their use of AI (DeepSeek) is inadequate. The phrase ""Give up some of those record profits"" suggests a belief that the company is prioritizing profits over providing quality solutions, indicating a negative sentiment towards the quality of the service provided.",-80,"The review expresses strong dissatisfaction with British Gas, implying that they are not providing good value for money. The mention of ""record profits, dividends and bonuses"" suggests that the reviewer feels the company is prioritizing profits over customer satisfaction, leading to a negative perception of value."
30/01/2025,01/01/2025,British Gas too late I have escalated the complaint to the ombudsman after hundreds of calls and emails!,0,Unknown,-90,"The review expresses extreme frustration and dissatisfaction with British Gas, highlighting a long struggle with communication and the need to escalate the issue to an ombudsman, indicating a very negative overall sentiment.",-90,"The review expresses significant frustration with the appointment scheduling process, highlighting a lack of timely response and the need to escalate the issue to the ombudsman after numerous unsuccessful attempts to resolve it. This indicates a very negative experience.",-90,"The review expresses extreme frustration and dissatisfaction with the customer service provided by British Gas, highlighting a long struggle with communication and the need to escalate the issue to an ombudsman.",-90,"The review expresses extreme frustration with the slow response from British Gas, indicating that the customer had to escalate the complaint due to inadequate service. This reflects a very negative sentiment regarding the response speed.",-90,"The review expresses significant frustration and dissatisfaction with the service provided by British Gas, indicating a negative experience with the engineer's response time and overall service, leading to escalation to the ombudsman.",-90,"The review expresses significant frustration with the lack of timely resolution from British Gas, indicating that the customer had to escalate the complaint to the ombudsman after numerous unsuccessful attempts to resolve the issue. This strongly suggests a very poor quality of solution provided.",-90,"The review expresses significant frustration and dissatisfaction with British Gas, indicating that the customer feels they have not received value for their time and effort, as evidenced by ""hundreds of calls and emails."" This suggests a strong negative sentiment regarding the value they perceive from the service."
29/01/2025,01/01/2025,"Stop ripping us customers off with massive bills, then say sorry can't help with trying to pay it 3 years and still not resolved  clowns running this company",90,Energy,-90,"The review expresses strong frustration and dissatisfaction with the company's billing practices and customer service, indicating a very negative overall sentiment. The use of phrases like ""ripping us off"" and ""clowns running this company"" reinforces the negative feelings towards the contractor.",-100,"The review expresses extreme frustration and dissatisfaction with the company's handling of billing issues, indicating a lack of support and resolution over a long period. This reflects a very negative sentiment towards the overall service, including appointment scheduling, as it implies a failure in customer service and communication.",-90,"The review expresses strong dissatisfaction with the customer service, highlighting issues with billing and a lack of resolution over an extended period. The use of derogatory language (""clowns"") further emphasizes the negative sentiment towards the company's customer service.",-90,"The review expresses significant frustration with the company's lack of assistance in resolving billing issues over an extended period, indicating a very negative sentiment towards their response speed.",-90,"The review expresses strong dissatisfaction with the company's billing practices and customer service, indicating a very negative experience with the engineers involved in resolving the issue. The use of derogatory language (""clowns"") further emphasizes the negative sentiment regarding the engineer's experience.",-90,"The review expresses strong dissatisfaction with the company's ability to resolve billing issues, indicating a lack of effective solutions and support over an extended period. The use of derogatory language (""clowns"") further emphasizes the negative sentiment regarding the quality of solutions provided.",-90,"The review expresses strong dissatisfaction with the pricing and billing practices of the company, indicating that the customer feels they are being overcharged and that their concerns have not been addressed. This clearly reflects a negative sentiment regarding the value for money."
29/01/2025,01/01/2025,Michelle Perry False Bills due to massive its massive continual I.T. problems.,90,Energy,-80,"The review expresses significant frustration and dissatisfaction with the contractor, highlighting issues such as ""false bills"" and ""massive continual I.T. problems,"" which indicate a negative experience overall.",-80,"The review indicates significant frustration with ""massive continual I.T. problems,"" which suggests that appointment scheduling is likely affected negatively, leading to a poor experience for the customer.",-80,"The review expresses significant frustration with the customer service, highlighting issues with false billing and ongoing IT problems, which indicates a very negative experience.",-80,"The review indicates significant frustration with the contractor's response speed, as it mentions ""massive continual I.T. problems,"" suggesting delays and inefficiencies in addressing issues. This strongly negative sentiment reflects a poor experience regarding how quickly the contractor responds to problems.",-80,"The review indicates significant dissatisfaction with the engineer's performance, specifically mentioning ""massive continual I.T. problems,"" which suggests a lack of competence or reliability in their work. This strongly negative sentiment reflects a poor experience with the engineer.",-80,"The review indicates significant dissatisfaction with the quality of the solutions provided, specifically mentioning ""false bills"" and ""massive continual I.T. problems,"" which suggests that the solutions are ineffective and problematic.",-80,"The review indicates dissatisfaction with the service, specifically mentioning ""false bills"" and ""massive continual I.T. problems,"" which suggests that the customer feels they are not receiving good value for their money."
30/01/2025,01/01/2025,What do you expect from people in third world countries,0,Unknown,-80,"The review expresses a negative sentiment towards people from third world countries, implying a prejudiced viewpoint. The phrasing suggests a lack of respect and understanding, leading to a strong negative score.",-80,"The review expresses a negative sentiment towards the service, implying a lack of professionalism or reliability in appointment scheduling, which is often associated with negative stereotypes about service quality in certain regions.",-80,"The review expresses a negative sentiment towards the service provided, implying a lack of expectation and possibly a dismissive attitude towards the capabilities of individuals from certain regions. This reflects poorly on customer service.",-80,"The review expresses a negative sentiment towards the service, implying a lack of expectation or disappointment in the response speed, likely due to perceived inefficiency associated with the contractors. The phrasing suggests frustration and a strong bias, leading to a low score.",-80,"The review expresses a negative sentiment towards the capabilities or expectations of engineers from third world countries, implying a lack of professionalism or skill. This reflects a strong bias and dissatisfaction with the engineer's experience.",-80,"The review expresses a negative sentiment towards the capabilities of people from third world countries, implying a lack of quality in the solutions provided. This reflects a strong bias and dissatisfaction with the perceived quality of work.",-80,"The review expresses a negative sentiment towards the perceived value of services provided by individuals from third world countries, implying a lack of worth or quality. This suggests a strong dissatisfaction with the value for money aspect."
01/02/2025,01/02/2025,Kai Beech no you can't,0,Unknown,-80,"The review expresses a clear negative sentiment with the phrase ""no you can't,"" indicating dissatisfaction or disagreement, which strongly suggests a poor experience or opinion about the contractor.",-100,"The review indicates a clear refusal or inability to schedule an appointment, suggesting a highly negative experience regarding appointment scheduling.",-100,"The review is extremely negative, indicating a clear dissatisfaction with customer service, as it suggests a refusal or inability to assist the customer.",-100,"The review indicates a negative sentiment towards the response speed, as the phrase ""no you can't"" suggests frustration or dissatisfaction with the contractor's ability to respond effectively.",-100,"The review is extremely negative, indicating a clear dissatisfaction with the engineer's experience, as it suggests a refusal or inability to meet expectations.",-100,"The review is extremely negative, indicating a clear rejection or dissatisfaction with the solution provided by Kai Beech. The phrase ""no you can't"" suggests a lack of effectiveness or inability to meet the customer's needs.",-100,"The review is extremely negative, indicating a clear dissatisfaction with the value for money provided by Kai Beech. The phrase ""no you can't"" suggests a refusal or rejection of the service or pricing, implying that the customer feels they did not receive adequate value for what they paid."
01/02/2025,01/02/2025,Michelle Perry it's a broker apparently he can rid you off all the debt from British Gas  jog on mate I don't think so,0,Unknown,-80,"The review expresses strong dissatisfaction and skepticism towards Michelle Perry's claims, indicating a negative experience or perception. The phrase ""jog on mate"" suggests a dismissive attitude, reinforcing the overall negative sentiment.",-80,"The review expresses strong dissatisfaction with the broker's claims about debt relief, indicating a lack of trust and frustration. This negative sentiment suggests that the appointment scheduling aspect is likely viewed unfavorably, as the reviewer seems to feel misled or disappointed.",-80,"The review expresses strong dissatisfaction with the service provided by Michelle Perry, indicating a lack of trust and a negative experience. The phrase ""jog on mate I don't think so"" suggests frustration and a dismissive attitude towards the service, reflecting extremely negative sentiment regarding customer service.",-80,"The review expresses strong dissatisfaction with the broker's claims regarding debt relief, indicating a lack of trust and frustration. This negative sentiment reflects poorly on the response speed, as the reviewer seems to feel misled or ignored.",-80,"The review expresses strong skepticism and negativity towards the broker's claims about debt relief, indicating a lack of trust and dissatisfaction with the service. This reflects a very negative sentiment regarding the experience with the engineer or broker involved.",-80,"The review expresses strong skepticism and dissatisfaction regarding the broker's ability to provide a solution for debt relief, indicating a lack of trust in the effectiveness of the service offered.",-80,"The review expresses strong skepticism and dissatisfaction regarding the broker's ability to provide value, specifically in relation to debt management with British Gas. The phrase ""jog on mate I don't think so"" indicates a lack of trust and negative sentiment towards the perceived value of the service."
29/01/2025,01/01/2025,Never mind all that crap 💩 Just provide a professional service to your customers.,0,Unknown,-70,"The use of derogatory language (""crap 💩"") indicates strong dissatisfaction, and the phrase ""Just provide a professional service"" suggests that the reviewer feels the service was lacking. This overall conveys a negative sentiment towards the contractor's performance.",-80,"The review expresses frustration and dissatisfaction with the service, implying that the appointment scheduling process is unprofessional or inadequate. The use of derogatory language suggests a strong negative sentiment towards the overall service experience.",-80,"The review expresses frustration and dissatisfaction with the service provided, indicating a strong negative sentiment towards customer service. The use of derogatory language suggests a lack of professionalism, which further reinforces the negative sentiment.",-80,"The review expresses frustration and dissatisfaction with the service, indicating a lack of professionalism and responsiveness. The use of derogatory language suggests a strong negative sentiment towards the contractor's ability to respond effectively.",-80,"The review expresses frustration and dissatisfaction with the service provided, indicating a lack of professionalism. The use of derogatory language suggests a very negative sentiment towards the engineer's experience.",-80,"The review expresses strong dissatisfaction with the service provided, indicating that the customer feels the quality of the solution was lacking. The use of derogatory language suggests a significant negative sentiment towards the professionalism and effectiveness of the service.",-80,"The review expresses frustration and dissatisfaction with the service provided, indicating a lack of professionalism. This suggests that the customer feels they did not receive good value for their money."
