Date,Year-Month,Final Product Category,Review,spam_label,spam_confidence,detected_lang,is_english,has_justification,review_weight
01/01/2024,01/01/2024,Unknown,The Engineer you sent was so helpful in a situation that was dIfficult for him as we were both in wheelchairs.  He found the trap door key to open the loft and  left everything neat & tidy.  An excellent Engineer.,LABEL_0,0.935,en,True,True,1.0
01/01/2024,01/01/2024,Gas Products,Prompt in answering telephone call and clear information from engineer and problem solved quickly,LABEL_0,0.919,en,True,False,0.9
01/01/2024,01/01/2024,Unknown,Very quick response,LABEL_0,0.936,fr,False,False,0.45
02/01/2024,01/01/2024,Unknown,5 Star review excellent,LABEL_0,0.796,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"No heating or hot water between christmas/ny but I was sent the wonderful Laurence who still came at 7pm after a long busy day. He identified what was wrong, managed to get the part the next day and came back at 6pm the next evening as promised and stayed until it was fixed after another problem occurred.  He left at 8 on a Sat evening having mended it all.  Beyond call of duty.  Thank you.",LABEL_0,0.934,en,True,True,1.0
02/01/2024,01/01/2024,Gas Products,"From the initial phone call for help upto the engineer completing the work, it worked like clockwork. Truly professional. Engineer was very friendly.",LABEL_0,0.934,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,Always been satisfied with service received from Corgi. Have been with them for about 12 years. Very helpful call centre. Engineers always contact you to let you know when they will arrive.,LABEL_0,0.927,en,True,False,0.9
02/01/2024,01/01/2024,Plumbing & Drains,Got through to switchboard easily with little wait phone operator was helpful and efficient.Friendly and efficient drainage engineer.Took 2days to arrive but it was Christmas Day & Boxing Day.I would recommend CORGI HomePlan.,LABEL_0,0.895,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,It was a difficult time my boiler broke before Xmas !! 22 nd dec so I wasn’t expecting to much but the engineer Ian went above and beyond to get a part for our boiler to work before Xmas started so thankyou 👍,LABEL_0,0.925,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Well It went well after I asked for a second opinion! If I had not, we would be financing a new boiler, due to the first engineer writing it off, and leaving my home with no heating or hot water.To be clear the second engineer who came was excellent, he sorted it out and got us up and running.",LABEL_0,0.936,en,True,True,1.0
02/01/2024,01/01/2024,Plumbing & Drains,Good service. Same day job done thanks,LABEL_0,0.934,en,True,False,0.9
02/01/2024,01/01/2024,Plumbing & Drains,Very pleased with the service we received on new year's eve. We had a blocked sink in the kitchen. After phoning to report the problem we had a plumber sent out soon after. The problem was fixed fairly quickly.,LABEL_0,0.931,en,True,False,0.9
02/01/2024,01/01/2024,Gas Products,"Engineer came back to re-look again at the boiler,he reassured me it was ok.,which was helpful for me.,as I am a vulnerable adult.Corgi explained there emails well,and my appointment was re-assured so all's well.",LABEL_0,0.937,en,True,True,1.0
02/01/2024,01/01/2024,Gas Products,"Very polite,respected our home.Did what they had to do and left. Where they worked on the fault it was left tidy.",LABEL_0,0.938,en,True,False,0.9
