Year,Product,Aspect,Analysis
2024,Gas Products,Overall,"## Gas Products  
**British Gas is seen as a trusted name for boiler services**, with strong feedback on engineer professionalism:  
> *""The engineer was very nice. He knew exactly how to solve the issue with the leakages in my boiler. He cleaned up after himself and explained everything clearly.""*

However, we are lagging behind **Corgi HomePlan and HomeServe** on **response times**, with multiple reviews highlighting delays in booking and quoting. Corgi HomePlan customers frequently mention speed:  
> *""Reported a heating fault Friday afternoon, plumber arrived 8 AM Saturday and fixed it fast.""*  

By contrast, BG customers often complain about slow processes:  
> *""Booked an engineer for a new boiler quote on 21 October. As of today, 7 November, still no quote!""*  

### Key Takeaways:  
1. **Improve turnaround on quotes and bookings** – Corgi and HomeServe are winning on speed.  
2. **Maintain engineer professionalism** – This is a strong point and a key differentiator we should emphasize.  
"
2024,Plumbing & Drains,Overall,"## Plumbing & Drains  
**British Gas (via Dyno-Rod) is highly regarded for fixing issues efficiently** and has a **strong reputation for skilled engineers**:  
> *""Very nice engineer who found a leak that other workers missed when doing renovations months ago.""*  

Where we struggle is **pricing transparency**, with many customers feeling **overcharged** compared to Checkatrade and independent plumbers.  
> *""Paid £60 excess, then my premium increased by £60 for a single callout. Basically, I paid £120 for a 30-minute job!""*  

Checkatrade competitors are seen as more cost-effective:  
> *""Blocked sewer sorted in an hour. Excellent service and good value.""*  

### Key Takeaways:  
1. **Improve price communication** – Customers feel misled on costs; clear upfront pricing could improve sentiment.  
2. **Maintain our service reputation** – Engineers are well-regarded; better price perception could make us the market leader.  
"
2024,Home Electrical,Overall,"## Home Electrical  
**British Gas is perceived as highly capable when engineers show up**, with strong reviews on work quality:  
> *""Electrical repair carried out professionally, with a friendly and thorough service.""*  

However, we are **behind Checkatrade and 24/7 Home Rescue** in reliability. **Missed or cancelled appointments** are a recurring complaint:  
> *""Had a repair request a month ago, rebooked three times, engineer didn’t turn up each time.""*  

Checkatrade customers highlight their reliability:  
> *""Found a really good electrician for the work I needed.""*  

Meanwhile, 24/7 Home Rescue has its own issues with emergency response times, which presents an opportunity for us to win dissatisfied customers.  

### Key Takeaways:  
1. **Reduce missed appointments** – A major frustration that competitors handle better.  
2. **Opportunity in emergency callouts** – 24/7 Home Rescue struggles here; we can capture market share by improving response times.  
"
2024,Appliance Cover,Overall,"## Appliance Cover  
**British Gas performs well on technical expertise and reliability**, with positive feedback on issue resolution:  
> *""Fast response from the appliance team—fixed our freezer within an hour! Outstanding service!""*  

Where we lag is **booking efficiency** compared to **Domestic & General and AO Care**, which have smoother scheduling processes. Customers praise D&G for quick fixes:  
> *""Easy process to book a repair. First date given was next day!""*  

Meanwhile, BG customers express frustration with slower appointment availability.  

### Key Takeaways:  
1. **Speed up appointment scheduling** – Next-day service is becoming the norm among competitors.  
2. **Keep service quality high** – Customers value our expertise; ensuring faster access to it will drive retention.  
"
2024,Energy,Overall,
2024,Gas Products,Appointment Scheduling,"Customers appreciate British Gas s structured appointment slots but find rescheduling difficult (""After rearranging my day, the engineer never turned up no communication.""). Competitors like CheckATrade-listed firms are praised for flexibility in fitting appointments around customer needs. Actionable: Implement real-time online rescheduling and SMS updates to reduce no-show frustration."
2024,Plumbing & Drains,Appointment Scheduling,"Reviews indicate that appointment availability is reasonable, but late cancellations are a recurring issue (""Waited all day, only to be told they couldn't make it.""). HomeServe s same-day service gets positive mentions, suggesting British Gas should offer last-minute availability slots for urgent plumbing issues to improve responsiveness."
2024,Home Electrical,Appointment Scheduling,"Customers complain about conflicting scheduling information from customer service (""Was told the engineer was coming, but he never arrived.""). HomeServe s positive reviews highlight better coordination. British Gas should improve scheduling transparency by enabling real-time tracking and reducing last-minute cancellations."
2024,Appliance Cover,Appointment Scheduling,"Domestic & General customers report severe delays in getting repair appointments (""Repair never materialized. No communication.""), creating an opportunity for British Gas to differentiate itself by guaranteeing repair timeframes and offering partial refunds if delays occur."
2024,Gas Products,Customer Service,"Negative reviews frequently cite difficulty reaching the right department (""Spent ages on hold only to be transferred again.""). Competitors with direct engineer contact score better. Actionable: Introduce a priority line for existing customers and ensure service reps have direct engineer communication to avoid unnecessary transfers."
