Date,Company,Review,sentiment,reason
03/01/2024,British Gas,"Worst energy company I've ever had. They had 3 meters attached to my bill, it took them 6 months to fix it, which resulted in me getting a Â£3,000 bill. They did finally amend it when I moved out, but ignored my final meter reading and estimated higher usage. Every time I spoke to a member of the team I'd be promised a call back, or a fix that never came. I raised a complaint against them, and yet still to hear anything back.",-90,"‘Worst energy company’, 6-month fix delay leading to £3,000 bill, ignored callbacks and complaints"
03/01/2024,British Gas,"Have been a customer for 10 years with no issue. In October I received an email to say theyâ€™d moved me to a new system. Since then Iâ€™ve had constant issues. No bill generated for 2 months. I had to contact them 4 times and theyâ€™ve now created 2 separate bills, I contacted again and was assured only1 of these was due to be taken by direct debit. Today theyâ€™ve taken both - which is an overpayment of Â£300. Have called again to be met with an advisor that cannot answer what is happening with my bill or why theyâ€™ve taken Â£300 extra, cannot answer what alternative payment options there are if I cancel my direct debit. My smart meter has also stopped supplying readings since the system move and they are still yet to send an engineer to sort this. This is now the 7th time Iâ€™ve called in the last month and still have no resolution. Think I will need to move energy companies based on this.UPDATE - the reply to this review advised me to contact via Facebook. Iâ€™ve done so and surprise surprise theyâ€™re unable to help as Iâ€™m on the new system. â€œA specialist teamâ€ need to deal with customers on the new system and they are incapable and have no idea what they are doing. An absolute joke. Why have I been moved systems after 10 years to one that clearly doesnâ€™t work?",-80,"10 years issue-free then months of billing errors, overpayments, 7 unresolved calls, ‘absolute joke’"
03/01/2024,British Gas,I am in a lot of debt with British Gas for some reason. After many calls of explaining how my meter is wrong and has bitumen coming from it I still havnt had this problem resolved. I was offered a smart meter but nobody after staying in all day nobody  turned up. when I called I was told the appointment had been cancelled but wasn't informed. My meter is clearly at fault and the person on the phone thought I lived in a house of substantial size at one point trying to change my DD to Â£600 a month!,-70,"Meter fault unresolved, debris issues, missed smart-meter appointment, excessive DD proposal"
03/01/2024,British Gas,"The biggest problem was getting through to an advisor, the automated service doesnâ€™t give many options, and it took me 12 attempts to give my telephone number before it was finally recognised. Having said that, once I was put through to the correct person to help me, the help was great",30,"Frustrating automated service but once connected, advisor help was great"
03/01/2024,British Gas,"AWFUL! DO NOT GO WITH BRITISH GAS!Received a bill for Â£200.00 standing charge for my Mum, from the date she passed away. This also, despite her property being empty and no electricity used.When I queried this the person I spoke to REFUSED to understand how morally questionable this was and would not answer any of my questions. That person was was robotic in her responses, as if reading from a script and even got some of her facts wrong.One plea to all staff  - please think for yourself; have some integrity and stop being like Lemmings. Do what is Right!I WOULD HAVE GIVEN 0 IF I COULD HAVE DONE.ALSO NOTE THAT BRITISH GAS HAS THE SECOND HIGHEST STANDING CHARGE ORF THE SIX. BE WARNED!",-95,"‘AWFUL!’, billing for deceased mother, refusal to answer questions, scripted responses"
03/01/2024,British Gas,Rang them today to give my Solar Panel readings and was soon put through lady was very polite and dealt with quickly and let me know how much I was getting and performance of panels,70,"Polite, efficient handling of solar readings with clear performance info"
03/01/2024,British Gas,Absolutely appalling now I've spoken to them again and now they say another 7 to 14 days to receive so they are frauds and liars u don't get ure money within in ten days they take nearly 3 weeks to get ure money back they only sorted the refund on boxing day if could give no stars I would,-85,"Delayed refund labelled ‘frauds and liars’, refund took 3 weeks, zero-star sentiment"
03/01/2024,British Gas,"Engineer was polite, friendly and proficient explaining what he was doing when asked, he also gave useful information about how to reduce household costs, the time taken to replace the new smart meter was as advised, a good service was provided",80,"Polite, friendly and proficient engineer, clear cost-saving advice, timely service"
03/01/2024,British Gas,Keep getting promised account will be reset never happens paying for service not able to use,-60,"Repeated promises to reset account never fulfilled, paying for unusable service"
03/01/2024,British Gas,Took over an hour and 3 advisors to submit a meter reading- the new online system does not work and needs sorting out pdq! The first advisor could not access my account because it had been migrated to the new system so transferred me to another department but his headset mike was not working and sounded as if he had it in his mouth so I couldnâ€™t hear anything clear enough to speak- he transferred me back to the original department and after waiting another 25 minutes got through to a very helpful advisor who took my reading. Itâ€™s not the advisorâ€™s fault but do not keep telling people that the easiest way to manage your account is online if the online account does not work.,-70,"Over an hour, 3 advisors due to new system failures, online account not working"
03/01/2024,British Gas,PERFECT!Explained contract/direct debit extremely well & reassured me my Plan 3 will remain the same other than applying a 10% discount. The whole process was explained clearly & professionally so I shall remain a British Gas customer.Well done to lady on your team I spoke to.,85,"‘PERFECT!’, clear and professional explanation, reassurance on discount and plan"
