Review,Company
Rang up over blocked drain member of team sorted problems promptly and dyno rod attended within 1 hour. Then asked to book boiler check sorted coming next day . Brilliant service.,British Gas
Called to renew my plumbing policy & everything went smoothly and very satisfied with the call.Only 1 thing it did take 20 mins to get through.,British Gas
Great response to a leak in the home,British Gas
"We had an emergency with a hot inlet pipe which split in our downstairs toilet. I phoned customer care, British Gas call handler sorted everything out arranged for a plumber to come out who arrived within hour  and an hour later, everything was sorted. Excellent service would recommend British Gas 100%",British Gas
"Engineer phoned to let us know his ETA on the pre arranged service date.Was friendly, efficient and informative.Explained both what he had done and then the new digital service report system.In the past when we encountered any problem, they were quick to respond.We also pay to have our plumbing covered by them and again , when we had a drainage problem, sent out dynorod to fix it.Efficient, reliable and helpful, exactly what we want for a service like this.",British Gas
"Quick booking to get someone to come out. Really accurate time scales provided. The time taken to be seen was incredibly short for a holiday season booking. Plumber was so knowledgable and friendly, polite and courteous. Additionally  he was very thorough.",British Gas
I had a problem with my water pressure and the engineer kept coming back till he had fixed and sorted the problem. It wasn't obvious at first what was causing it but he was very professional and didn't give up till he managed to find the cause.,British Gas
"First time I rang I waited 40 minutes before giving up. However,  second time was only three minutes.  Advisor was friendly,  knowledgeable and helpful.  I don't like that you have to pay Â£60.00 for the plumber to attend when already paying a monthly fee for the home support.",British Gas
When my toilet sprung a leak there was someone there within an hour of me reporting it. Even though it was nighttime. The person who came was friendly and capable and effected a complete repair.,British Gas
"Used Local Hero's for a sink that was not draining well.Plumber was arranged promptly, however, they came out without the tools as not all the vans carry the required equipment. This was charged and a second appointment was arranged with a van that carried the equipment. The initial plumber refused to leave the property unless I paid there and then which goes against Local Hero policy/terms. Due to his intimidation I agreed to sign and pay for this as he refused to leave and said the charge was increasing whist he was still in the property and a second visit was forced for a second fee. Both charges were above that advertised on the company's own website and ended up costing twice the inflated price due to the company not carrying all equipment. The slow draining sink was resolved on the second visit but, we used local hero's so that we did not end up with an unscrupulous company. Unfortunately, this was not the case. ",British Gas
"The engineer who attended was great and informative. He gets 5 The problem is actually getting through to talk to someone re problem. A. I. only gives limited option and if your problem doesn't fit .,,, tough luck! Took me two calls to get hold of advisor. I had a leak in my airing cupboard, only discovered by mark appearing on dining room ceiling below. Had to wait from Sat until Tues for engineer and wrap towels around leak( changed regularly!). Considering the premium for this service, not great.",British Gas
"British Gas Homecare service is to be avoided. Years ago the service was reasonable...but now it is an appalling service. Invariably if you want a plumbing or drainage repair your first contact is with their South African Call Centre after a long wait. The call centre staff are poorly trained.. and even if they don't cut you off and fail to ring back 10 mins or so into the conversation(common).. they will likely arrange a Dyno ""Plumbing"" visit when you clearly state its a blocked toilet or drain...and will send Dyno ""Drains"" when its a clear plumbing issue. Also the standard of workmanship is generally very poor...and engineers fail to return after saying they are going off for parts. Also the drainage booking staff are rude and unhelpful when the Call Centre sends the wrong engineer...saying they won't help and the customer has to start again to sort an error out made by their call centre...saying its nothing to do with them and that they are just regional effective franchisees and you have to go back to British Gas Homecare number again...so back to South African call centre!!. Avoid avoid avoid. Appauling service.",British Gas
Excellent service. Very good response. My blocked pipe and leak were fixed in no time. Very reliable. Thank you so much.,British Gas
We have had cause to call British Gas for plumbing repairs over the last year.  We have been so impressed with the ease when requesting assistance.  Their sub contractor has turned up on time and successfully completed repair or replacement.  We are very happy to remain with British Gas for our HomeCare service.,British Gas
"I have been trying to get through to the Plumbing & Drains department of British gas (Dynorod), for the last 3 weeks and constantly the app has crashed recommending to use the phone number given which constantly hung up before I could get through to someone to book a repair, I don't know what has changed but I used to be able to book a repair almost immediately using either the app or phone.",British Gas
I contacted British Gas to book an appointment for Dyna-Rod to come and fix a plumbing issue. The customer service I received was great and they were polite and booked the day and time with no problem at all. Payment was done today and was done after one rejection was I had to resolve before it went through on the second try.,British Gas
I had emergency with blocked drain pipe they came in no time and sorted it out so fast and professionally!,British Gas
"I recently had a blocked drain,I rang British Gas and within 24 hours a contractor arrived and cleared the blockage and power cleaned the drain.Excellent service and would recommend British Gas service plan to everyone.In January our boiler was not igniting, So again I rang British Gas and the next day the engineer arrived and repaired the boiler and carried out the annual service.Excellent work well done British Gas.",British Gas
"I have home cover as I am an oap and unable to do plumbing and electrical work myself anymore.My downstairs toilet is attached to a macerator unit, recently a pipe leading to the unit burst so I contacted British Gas.A plumber came out within a few days took one look at it and said they were not allowed to work on macerators, I pointed out that, even if that was the case, the problem was NOT the macerator but a burst pipe leading to it, he was adamant however and left.I called BG to complain, they confirmed that hidden away in the small print of my contract was an exclusion for macerators and she also dismissed my argument that it was a burst pipe not the macerator.I found a local plumber on Checkatradewho came out and fixed it quickly and efficiently.I was left angry and wondering exactly what I am paying all this money for each month.",British Gas
"Issue resolved, by adjusting an airing cupboard valve",British Gas
"Managed to get through to British Gas on a Sunday late afternoon with a plumbing issue. Very nice customer service agent really helpful.Had to hold for around 40 minutes to get through and couldn't navigate the app to book appointment, but apart from that all good. Thank you",British Gas
Had a domestic disaster drilling into a heating pipe. Really excellent emergency service. Prompt and courteous repair.,British Gas
"Called dump rod out using the home care  scheme with British Gas.The person on the phone was brilliant Dump rod came out and discovered the the blockage was in another area part of our drainage, so could not resolve this and recommend that we call Severn Trent. This we accepted. When I came home from my work the mess dyno rod left my back garden in, the full patio covered in excrement at least an inch thick. Did not even attempt to at least tidy up. I spent the whole weekend cleaning the mess up as im not experienced in this kind of cleaning And to make matters worse it is all over the grass in which my cat and dog cannot now go to the garden and now have to run the  hose over to try and at least dilute this. At cost to myself as I pay water rates Ruined clothes, expense of buying cleaning products and bleach of which will kill the grass and potentially give me very sick animals Would not recommend this company at all",British Gas
The engineer who fixed the leak was excellent but the people from dyno were crap and rude,British Gas
"What a nightmare ... the wrong assessment by their Dyno guy, 2 weeks of delays getting builders in who all said it's a plumbing issue that their Dyno team failed to spot,1 hrs on the phone, and no one picked up . I have heard horror stories about Dyno year sago and seems nothing fixed.You are constantly reverted to their South Africa offices, on bad internet lines and they; know nothing about policies or customer service, they pretend the line drops when you ask them a question they don't understand. BG this is disgraceful do not source without training",British Gas
"Diabolical service.Have had the Homecare service for 6 years. Ok for boiler services - but when you need something else don't bother.I had drain issues before Christmas and an engineer was sent out who did nothing - not surprising as by the time arrived on his allocated day it was dark. He tried to palm off my issue on blocked down pipes - however, once these were cleaned out it turned out the original issue was the rainwater drains, as I'd suspected. Called British Gas again to explain that the engineer needed to come back and look properly this time. Was assured that I wouldn't charged an additional Â£60 excess since it was the same job. The same guy came back - not sure how he's employed because again he was useless and came up with some story about not being able to help because of a ""shared drain"". The drain is not shared at all - as I found out when I paid out for a local person to look at it who actually did a good job.I thought maybe it was just a bad one off experience, however, I then looked at my card statement and found out that I had been charged an additional Â£60 excess for the job - despite being assured that this would not happen!So in addition to the annual cost paid to British Gas I've now paid them Â£120 for some idiot to come out and do no remedial work at my property. Unbelievably poor service. My HomeCare plan auto renewed last week and I've cancelled it as I cannot bear to deal with such incompetence. I've seen Homeserve has good reviews so may try them (providing they don't send out the numpties from DynoRod if there are drain issues).I don't think I have the time or energy to waste trying to contact them to get a refund of at least one lot of the Â£60 that I shouldn't have paid. Emailed, used the chat and called already to be passed from one department to another about the refund. Apparently I need to call their billing team for this - attempted to call today but wait times were +30 mins.Hope this is a warning to others not to use these cowboys.",British Gas
Excellent and professional service from your dedicated team member. Was courteous and friendly and helped me book my emergency plumber appointment with relative ease. Very happy with my BG landlord 'gas cover' service.,British Gas
"The plumber, Blake, was pleasant, efficient and helpful. Clean and tidy, excellent job.  10/10!",British Gas
Proper plumber good work clean exerlant can't complain,British Gas
The person I spoke to took my details and listened to my problem. He then asked if there were any vulnerable people in the house. We discussed my problem in detail and he made an appointment for s plumber to call.,British Gas
Our burst water pipe was repaired and supply restored within 2 hours of our emergency call. The engineer was polite and very professional. Excellent service.,British Gas
We are very satisfied with the advice and recommendations given by the Engineer who visited our property regarding having a Poweflush done.,British Gas
"After Welsh Water told me I had a leak on my property but after investigating for an hour were unable to locate it, I was given 7 days to sort it out myself. I called British Gas who had an engineer from Dyno round the next day. Within minutes of arriving, and without unloading any equipment, they located the problem in my basement, dug out, repaired and made good within an hour. They were very polite and made me feel confident that they could sort out the problem (as opposed to WW who just made me feel like a criminal). Thank you British Gas for this service.",British Gas
The understanding and helpfulness of the advisor on the other end of the phone. Who managed to book me a plumbing appointment promptly whereas I had been unable to do this online,British Gas
Very helpful and polite and kept no mess at all promptly fixed rasiator,British Gas
"Contacted the Dyno-rod service. Blocked land drain. Job will be carried out tomorrow, so no review of chaps doing the work, but the support on the phone was excellent!",British Gas
Rang dyno rod with an emergency and 2 hrs later they arrived ... the young man knew exactly what he was doing and was very efficient and 30 mins later job all done,British Gas
I phoned up to make an appointment for a plumbing leak on my home care agreement and everything went smoothly! We have an appointment arranged for the next day,British Gas
"My complaint is with Dyno. Every time they visit they seem to leave more problems than they solve namely, trashing the house. Building site or someone's home, it's all same to them. This is the third time we've had an issue with British Gas/Dyno. A few years ago an emergency plumber flooded our house, next time they wore protective footwear outside before trailing mud all the way through the house and yesterday they soaked the carpet and left black marks all over the rest of it. This on top of NEVER returning with the right part. occasioning more visits with more opportunity to damage. Not to mention the plumber too afraid to access a concealed cistern because he'd Ã¢â‚¬Ëœnever done one before.' Now British Gas tell me it will take eight weeks to resolve the problem. All I want is my carpet cleaned and left in the state that it was when they arrived.Update 25/1/24 : in response to reply from BG I called in. pointless waste of time nothing can be done until it can be done they said after being passed around 5 different departments.",British Gas
engineer from Dyno Rod  that came to look at an going issue he identified the cause he was very efficient and fixed the issue  his name was Lee Martin and he was very efficient and was very very helpful excellent service,British Gas
"Your man came round, was very polite and very thorough. Said he would set up the next appointment which he did. He also said he would ensure his analysis would be passed on to the next engineer (who attended 25/01/24). The relevant information was not passed on. I doubt this was the fault of the engineer so it looks like a failure in communication between BG and Dyno. It's this kind of thing which gets BG a bad name. I look forward to passing on a very favourable review re today's engineer from Dyno.",British Gas
